GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
TigrEuphR,15,84,15084,Europe_Non_EU,ROW,AllPositive,Houghton,HWSD,Decrease
TocantinsR,7,174,7174,Brazil,BRA,AllPositive,HWSD,FAO,Decrease
UralR,10,38,10038,Central Asia,XAS,AllPositive,Houghton,HWSD,Decrease
UsaColoRS,20,221,20221,Mexico,XLM,AllPositive,HWSD,SG17,Decrease
UsaCstNE,1,232,1232,USA,USA,AllPositive,SG17,Houghton,Decrease
XunJiang,11,108,11108,China,CHN,AllPositive,SG17,Houghton,Decrease
YucatanP,9,111,9111,Central America and Caribbean,XLM,AllPositive,SG17,Houghton,Decrease
YucatanP,20,111,20111,Mexico,XLM,AllPositive,HWSD,Houghton,Decrease
AfrCstSSW,24,204,24204,South Africa,AFR,AllNegative,Houghton,SG20,Increase
AmurR,10,43,10043,Central Asia,XAS,AllNegative,Houghton,HWSD,Increase
BalticSea,23,20,23020,Russia,ROW,AllNegative,HWSD,SG20,Increase
BlackSeaS,10,70,10070,Central Asia,XAS,AllNegative,SG17,Houghton,Increase
California,1,217,1217,USA,USA,AllNegative,SG20,SG17,Increase
ChileCstS,31,169,31169,Argentina,XLM,AllNegative,HWSD,SG17,Increase
EbroR,13,73,13073,EU-15,EUR,AllNegative,SG20,FAO,Increase
Gobi,10,42,10042,Central Asia,XAS,AllNegative,SG17,Houghton,Increase
GuadalqR,13,83,13083,EU-15,EUR,AllNegative,SG17,HWSD,Increase
GuadianaR,13,81,13081,EU-15,EUR,AllNegative,SG17,HWSD,Increase
IndusR,22,89,22089,Pakistan,XAS,AllNegative,HWSD,Houghton,Increase
Iran,21,82,21082,Middle East,ROW,AllNegative,SG17,Houghton,Increase
LimpopoR,24,199,24199,South Africa,AFR,AllNegative,Houghton,HWSD,Increase
LenaR,23,6,23006,Russia,ROW,AllNegative,Houghton,SG17,Increase
OderR,12,29,12029,EU-12,EUR,AllNegative,HWSD,SG20,Increase
PacArctic,8,7,8007,Canada,ROW,AllNegative,SG17,SG20,Increase
PacArctic,1,7,1007,USA,USA,AllNegative,SG17,Houghton,Increase
PersianGulf,21,88,21088,Middle East,ROW,AllNegative,SG17,Houghton,Increase
PolandCst,12,33,12033,EU-12,EUR,AllNegative,Houghton,SG20,Increase
PolandCst,23,33,23033,Russia,ROW,AllNegative,HWSD,SG17,Increase
TagusR,13,71,13071,EU-15,EUR,AllNegative,SG17,HWSD,Increase
TexasCst,1,225,1225,USA,USA,AllNegative,SG17,FAO,Increase
TiberR,13,69,13069,EU-15,EUR,AllNegative,SG17,HWSD,Increase
UsaColoRN,1,220,1220,USA,USA,AllNegative,SG20,Houghton,Increase
UsaPacNW,1,229,1229,USA,USA,AllNegative,SG17,Houghton,Increase
WislaR,14,30,14030,Europe_Eastern,ROW,AllNegative,SG17,SG20,Increase
YeniseiR,10,48,10048,Central Asia,XAS,AllNegative,Houghton,SG17,Increase
YeniseiR,23,48,23048,Russia,ROW,AllNegative,SG17,SG20,Increase
AfrCstNE,2,100,2100,Africa_Eastern,AFR,AllPositive,FAO,HWSD,Increase
AfrIntN,5,144,5144,Africa_Western,AFR,AllPositive,HWSD,FAO,Increase
AmazonR,32,168,32168,Colombia,XLM,AllPositive,SG17,FAO,Increase
BengalBay,27,116,27116,South Asia,XAS,AllPositive,SG17,SG20,Increase
BorneoCstN,29,159,29159,Southeast Asia,XAS,AllPositive,SG17,SG20,Increase
