GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
AfrCstNE,3,100,3100,Africa_Northern,AFR,Zero,,,
MexCstNW,1,96,1096,USA,USA,Zero,,,
MissouriR,8,223,8223,Canada,ROW,Zero,,,
NegroR,26,213,26213,South America_Southern,XLM,Zero,,,
NelsonR,1,23,1023,USA,USA,Zero,,,
NemanR,23,35,23035,Russia,ROW,Zero,,,
NevaR,14,17,14017,Europe_Eastern,ROW,Zero,,,
AfrCstNW,3,86,3086,Africa_Northern,AFR,Zero,,,
AfrCstNW,5,86,5086,Africa_Western,AFR,Zero,,,
AfrCstS,4,198,4198,Africa_Southern,AFR,Zero,,,
AfrCstSW,4,196,4196,Africa_Southern,AFR,Zero,,,
AfrCstSW,24,196,24196,South Africa,AFR,Zero,,,
CongoR,2,183,2183,Africa_Eastern,AFR,Zero,,,
DeadSea,3,95,3095,Africa_Northern,AFR,Zero,,,
GuineaGulf,4,162,4162,Africa_Southern,AFR,Zero,,,
OrinocoR,7,156,7156,Brazil,BRA,Zero,,,
Patagonia,31,214,31214,Argentina,XLM,Zero,,,
PoR,16,57,16057,European Free Trade Association,ROW,Zero,,,
RhoneR,16,62,16062,European Free Trade Association,ROW,Zero,,,
LChad,2,151,2151,Africa_Eastern,AFR,Zero,,,
LChad,3,151,3151,Africa_Northern,AFR,Zero,,,
Salinas,26,205,26205,South America_Southern,XLM,Zero,,,
ScheldtR,13,36,13036,EU-15,EUR,Zero,,,
ScndnvN,13,8,13008,EU-15,EUR,Zero,,,
MeditE,3,75,3075,Africa_Northern,AFR,Zero,,,
NigerR,3,149,3149,Africa_Northern,AFR,Zero,,,
NileR,3,87,3087,Africa_Northern,AFR,Zero,,,
SinaiP,21,98,21098,Middle East,ROW,Zero,,,
SolomonIsl,29,176,29176,Southeast Asia,XAS,Zero,,,
Sweden,16,12,16012,European Free Trade Association,ROW,Zero,,,
SyrDaryaR,11,76,11076,China,CHN,Zero,,,
SyrDaryaR,23,76,23076,Russia,ROW,Zero,,,
Taiwan,19,103,19103,Japan,XAS,Zero,,,
Taiwan,30,103,30103,Taiwan,XAS,Zero,,,
Tarim,22,85,22085,Pakistan,XAS,Zero,,,
VolgaR,10,18,10018,Central Asia,XAS,Zero,,,
OrangeR,4,194,4194,Africa_Southern,AFR,Zero,,,
SinaiP,3,98,3098,Africa_Northern,AFR,Zero,,,
ZambeziR,5,188,5188,Africa_Western,AFR,Zero,,,
