"","riverBasin","series","run","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
"21","ArgCstN",69,"moiraiSG17",24.812548371,27.445717359,31.773694254,35.547405989,38.792610898,41.56556593,27.302392406,24.056471093,21.194296029,18.680591232,16.478673147,14.910754709,13.303412786,11.902280725,10.680138396,9.614281002,8.552707566,7.71794309,6.989285669,6.354086154,5.800707024,5.22483391,4.8036453363,4.43827029,4.120537033,3.843825975,3.205346124,2.998291499,2.822985401,2.6713843391,2.538569937,2.437131794,2.341448565,2.256140213,2.180568404,2.113961858,1.780595775,1.695566979,1.623059133,1.560102687,1.505007581,1.67023951,1.653858515,1.63986012,1.627448974,1.616295695,1.443274544,1.422068464,1.404253427,1.388706007,1.374876901
"22","ArgCstS",69,"moiraiSG17",-47.775895084,-43.903671544,-37.764843639,-32.444337758,-27.882459417,-23.98944683,-21.505203097,-18.482544117,-15.885227196,-13.659046265,-11.750406453,-9.92407223,-8.439984709,-7.162684381,-6.06068634,-5.107885925,-4.313565222,-3.607328915,-2.993569777,-2.459596165,-1.994608279,-1.627140212,-1.28602347,-0.987792532,-0.727024851,-0.498945988,-0.360090922,-0.201970448,-0.0625931040000001,0.05992061,0.167463606,0.321389772,0.430356446,0.525791874,0.6097036589,0.683666743,0.6066857959,0.6114771845,0.6174489988,0.6235364458,0.6292993611,0.6327271277,0.63790811008,0.64254938139,0.64671006982,0.65047305835,0.61599960528,0.60719833001,0.60024762755,0.59463206596,0.59004050996
"23","ArkWhtRedR",69,"moiraiSG17",-23.59279382,-23.614647221,-23.34151181,-23.061177886,-22.792535859,-22.540537666,-18.049739127,-16.238903551,-14.462585793,-12.846343916,-11.426363837,-10.520394495,-9.471450771,-8.56509019,-7.777222548,-7.086887465,-6.78828998,-6.255201784,-5.77461194,-5.337869916,-4.9380023,-4.136267617,-3.769236566,-3.428313271,-3.110443449,-2.813288276,-3.447005132,-3.202239544,-2.96773886,-2.743209125,-2.528348455,-2.747386424,-2.560512764,-2.379775753,-2.205398151,-2.037521195,-2.463145895,-2.321168609,-2.182175158,-2.046678809,-1.915011961,-0.962365502,-0.785577495999999,-0.617511902,-0.457717568999999,-0.30582324,-0.658850038,-0.525063521000001,-0.395227405,-0.269675073999999,-0.148498412
"24","AusCstE",69,"moiraiSG17",-25.127144684,12.216707739,18.841595254,26.180478195,33.641714502,40.86294616,-18.824095721,-15.951246689,-13.322151565,-10.960019969,-8.867337921,-8.309039715,-6.716748862,-5.339181534,-4.153698251,-3.137899413,-2.193138306,-1.419652368,-0.760135934000001,-0.198557168000002,0.279216390999998,0.435803544000001,0.787293766999999,1.086924376,1.342331569,1.560165433,-0.874600393000001,-0.735293409,-0.611044166,-0.500558049999999,-0.402382875,-0.941874895999999,-0.852764625,-0.770411376,-0.694283826,-0.623867381,-1.204858286,-1.114220881,-1.02748076,-0.944483804,-0.865182526999999,-0.280807125,-0.152086719,-0.0303223009999992,0.0850782249999997,0.194429698,-0.514532907,-0.38592975,-0.260942871,-0.139928615999998,-0.0231617650000001
"25","AusCstN",69,"moiraiSG17",87.714552173,-63.795586617,-64.177813238,-62.398609771,-59.208549448,-55.155457068,-64.62389896,-59.118695485,-53.503761537,-47.973063524,-42.655132774,-37.262502105,-32.574988051,-28.254345101,-24.303022943,-20.713139039,-17.238206633,-14.315964112,-11.698288434,-9.360105769,-7.276757584,-5.33859734,-3.693358156,-2.236050306,-0.946796087999999,0.192716228999999,0.943872952999999,1.831626983,2.616801545,3.310572628,3.923174955,3.849608089,4.322536681,4.746377617,5.125118882,5.462838955,5.592096694,5.859210519,6.098082247,6.311296928,6.501197882,7.003355325,7.156393013,7.28845741,7.402708499,7.501752149,7.12198613,7.194946642,7.26369758,7.327713803,7.3868414111
"26","AusCstS",69,"moiraiSG17",-3.490359921,-0.570755339999999,0.381416758,1.283626039,2.129431182,2.915721919,-0.840903401,-0.689627115000001,-0.536591501999999,-0.385195594,-0.237886546,-0.362464628,-0.235858126,-0.115004039,-0.000445099999999856,0.107504118,0.22093549,0.310714803,0.394331572,0.472098761,0.544328825,0.607622191,0.669876114,0.727684981,0.781315289,0.831048379,0.427387145,0.464674736,0.501049132,0.536142133,0.569692959,0.502326405,0.524613873,0.546146583,0.566813846,0.586528376,0.523813392,0.536550689,0.548976027,0.561023498,0.572642139,0.695900291,0.715463833,0.733422542,0.749911031,0.765041099,0.685846032,0.694926895,0.70368915,0.712074871,0.720044433
"27","AusCstW",69,"moiraiSG17",-26.398818456,25.11074002,30.370430596,35.821162857,41.215765629,46.399947887,15.116480648,16.348743844,17.56427527,18.727544758,19.818071657,16.972853779,17.739488152,18.438147523,19.070010462,19.638007555,20.327615796,20.709606079,21.049739207,21.352173797,21.620898851,20.787929217,20.938497857,21.073472355,21.194666215,21.30355499,16.067942557,16.116636897,16.165058632,16.212321233,16.257900212,15.1513273557,15.1148195261,15.088332517,15.0697904921,15.0575651149,14.0311621294,13.9679035352,13.9161482162,13.8740189312,13.8400811430621,16.39601916967,16.5437481699,16.67449281968,16.7903480289,16.8931686125,15.8971717715,15.9491113077,15.9980579722,16.0438355729,16.0864082647
"28","AusInt",69,"moiraiSG17",1.382562661,-22.411109991,-20.045990597,-17.586747074,-15.137858415,-12.768431406,-10.454278756,-8.443192098,-6.587267432,-4.889610474,-3.347767453,-1.95178592,-0.695753385000001,0.428950070999999,1.433304738,2.327936313,3.161889503,3.872417713,4.502169756,5.05985808,5.553573955,5.990877533,6.377815495,6.720226594,7.023350051,7.291845215,7.421258648,7.623140721,7.803292443,7.964146873,8.107880697,8.146980043,8.248392037,8.340270126,8.423538129,8.499055041,8.536431043,8.594407398,8.647533014,8.696276389,8.741054266,8.848112765,8.895205097,8.937913872,8.976809327,9.012371736,8.973613753,8.993622099,9.013181245,9.032189386,9.050606627
"29","BalticSea",69,"moiraiSG17",-4.41038991,1.335286568,2.643338632,3.819035618,4.873775831,5.820561268,1.7857398,2.086567424,2.371729794,2.64365518,2.903940862,2.306834001,2.471299389,2.636229749,2.799629595,2.960374888,3.254837064,3.454674668,3.645293978,3.827676603,4.002427192,4.196019771,4.355864044,4.50988235,4.657136935,4.797320575,3.001258086,2.920157136,2.858653938,2.811091784,2.774085232,2.477004622,2.444926599,2.420679307,2.402998273,2.390848007,2.039801554,2.025852511,2.017008539,2.012499837,2.01163616,2.108365773,2.145574757,2.182196918,2.218067942,2.253086025,1.841469498,1.849201063,1.859608598,1.871810098,1.885271006
"30","BarentsSea",69,"moiraiSG17",-24.731241552,-8.235668695,-6.66356272,-5.161059669,-3.727722245,-2.363018724,-5.101195135,-3.469253603,-1.905957064,-0.398798905000003,1.056041075,-1.120784353,0.0637622092000033,1.2124394208,2.3188698162,3.3801548622,5.6269507548,6.608688124,7.5416626757,8.4290194729,9.2727294945,9.4273524005,10.1490799848,10.8356195605,11.4875191434,12.1057093036,6.9342563841,7.2258881258,7.5168310897,7.7997146668,8.071588834,8.3307643344,8.544518968,8.7496507317,8.9469023605,9.1367908544,8.8559272954,8.97372815545,9.08998431561,9.20452764485,9.31691106916,9.10661742953,9.18583130595,9.26495134843,9.34341949895,9.42079940951,8.27047189511,8.25981380275,8.25593301142,8.25701526512,8.26196720384
"31","BengalBay",69,"moiraiSG17",13.479556588,10.393085564,10.175878467,9.99478391,9.841244323,9.708735047,16.5616945,16.562004087,16.536155274,16.506995387,16.484491522,15.523992711,15.544855177,15.577024609,15.615334633,15.6569027,16.148682932,16.162158955,16.176375147,16.192887468,16.212163553,16.005696036,16.102990251,16.195533801,16.281797962,16.36200845,12.59412914,12.662935439,12.749877276,12.841481368,12.9315963413,12.2374500485,12.2670574599,12.3026268852,12.3415782653,12.3824658425,12.0024202523,12.01746056128,12.03836831907,12.06345856848,12.09162848835,12.79342877554,12.861317389979,12.920058501589,12.971884348523,13.018513533845,12.4004155670296,12.4072685135575,12.4196726789154,12.435760030694,12.454357460185
"32","BengalW",69,"moiraiSG17",0.754102545,0.277027579,0.18341114,0.111239812,0.0554912539999999,0.012314028,0.876235025,1.060387772,1.197920692,1.300642107,1.377404983,1.549969317,1.601146845,1.640080334,1.669747416,1.692363596,1.445187763,1.402887475,1.370295648,1.345291622,1.326048721,1.86549082,1.976926765,2.061808719,2.126474674,2.175790982,1.310163896,1.185190716,1.092897965,1.024830528,0.97470041,0.861725061,0.818235356,0.786014706,0.762187065,0.744624101,0.676168595,0.652793353,0.635397434,0.622464403,0.612874678,0.949280823,0.999300154,1.037520725,1.066725579,1.089053264,1.058947021,1.061463575,1.063595531,1.065388181,1.066892716
"33","BlackSeaN",69,"moiraiSG17",-9.224596899,-6.28594844,-5.27190497,-4.310795208,-3.436347148,-2.655169203,2.116096351,2.34687605,2.489658124,2.611732472,2.741329418,1.168117446,1.520968566,1.89515177,2.259821434,2.601906348,2.79949072,3.084264887,3.346746899,3.587655204,3.808738224,3.557691871,3.799095911,4.028081523,4.239398785,4.432172775,1.483814349,1.655790455,1.82816882,1.986906638,2.127746442,2.102763111,2.191688074,2.268714219,2.33639226,2.396623111,1.761801392,1.791097614,1.820466335,1.848596601,1.875173865,2.639129668,2.721726045,2.798079347,2.867824013,2.931267243,2.396929534,2.44489499,2.491232254,2.533867493,2.572390945
"34","BlackSeaS",69,"moiraiSG17",-0.831262754,-1.72970078,-1.850949906,-1.930292684,-1.993263507,-2.050983412,-3.524214539,-2.412917882,-1.348740613,-0.365153101000001,0.528946631,0.394002857,1.062836413,1.668648534,2.217306614,2.715133852,3.152059598,3.573034892,3.958198899,4.312644643,4.640239896,4.916845916,5.23125388,5.524143049,5.795924132,6.047744543,4.112871092,4.148893819,4.194615718,4.243104156,4.291271301,3.75165346,3.750237122,3.753143888,3.759484187,3.768554115,3.193008179,3.164908676,3.144359928,3.130046154,3.120888918,3.227175296,3.260151628,3.293795028,3.3275613,3.361086268,2.727612674,2.712459845,2.703890537,2.700116078,2.699977767
"35","BoHai",69,"moiraiSG17",2.025688084,-2.163852576,-2.470090658,-2.681939904,-2.842789787,-2.973824449,8.947458081,9.994637268,10.757831847,11.339311754,11.799883074,9.883187814,10.058306732,10.226397954,10.382621173,10.52583349,10.897298697,11.16340451,11.383432002,11.571314053,11.735369682,10.422345743,10.395705416,10.393027766,10.404804303,10.42559548,5.818559321,5.266925971,4.855896539,4.537068196,4.281720311,3.384821109,3.179048568,3.009727247,2.870078576,2.754613949,2.105051928,2.013393692,1.93817423,1.876079239,1.824342193,1.799358583,1.786743975,1.773181772,1.759784442,1.746825504,1.014714879,0.924511839,0.852384469,0.793526639999999,0.744584119
"36","BorneoCstN",69,"moiraiSG17",36.118583103,51.124718948,52.901135515,54.358552008,55.575387312,56.612233095,70.391073097,70.56069388,70.927365944,71.446190494,72.080866778,63.168220611,63.323694531,63.644484499,64.087739108,64.621346295,64.864522525,65.348428958,65.89370478,66.483538202,67.105083478,62.970368461,63.8821064,64.866687582,65.903907338,66.978546855,62.665620804,63.734572176,64.82296409,65.921740237,67.025289762,66.308583326,67.310876747,68.326126979,69.3490984684,70.375944372,69.6512803028,70.5227526783,71.4164426015,72.325630635,73.2453120252,82.8385488937,83.84711550242,84.72784433859,85.51036614263,86.21732890797,84.20102008765,84.64370572657,85.07946903389,85.5087425786,85.93191556277
"37","BrahmaniR",69,"moiraiSG17",0.745493903,0.12905409,0.0603901590000001,0.00695969400000016,-0.0350237559999999,-0.068394198,2.048650515,2.275368711,2.447854405,2.579265008,2.679605082,2.740109805,2.795948294,2.838989666,2.872388911,2.898407994,2.309333272,2.259143723,2.221542788,2.193482532,2.172582489,3.208909851,3.324444203,3.410888504,3.47550649,3.523727054,2.158623837,2.035083386,1.942838946,1.874115285,1.823040302,1.603989797,1.556034849,1.520440556,1.494117639,1.474730238,1.250494347,1.21798903,1.193771708,1.175776865,1.162464145,1.770297196,1.821693749,1.861020178,1.891135904,1.914243606,1.787778241,1.785789241,1.784542808,1.783834942,1.783480812
"38","BrzCstE",69,"moiraiSG17",10.513566633,15.110907615,15.713335885,16.194560873,16.577007524,16.879822726,5.345634781,4.859307939,4.487864116,4.204980861,3.990087123,3.44093262,3.294388911,3.181429294,3.094721116,3.028453545,2.917939499,2.87014083,2.832712769,2.803637787,2.781213724,1.915401091,1.866432848,1.830865549,1.805027676,1.786261858,0.718173158,0.680979244,0.658251827,0.644773195,0.637183679,0.629406181,0.633533065,0.63990591,0.64701628,0.654035068,0.324683578,0.320362104,0.31958415,0.320754386,0.3228978976,1.2927346313,1.3399399899,1.3768253393,1.4055814994,1.4279717578,1.2987246837,1.3110708698,1.3230197406,1.3338647948,1.34332449675
